LINK,NAME
195,Campanula rapunculoides
196,Campanula rapunculus
197,Campanula rhomboidalis
198,Campanula rotundifolia
199,Campanula trachelium
8810,Campsis
8073,Campsis radicans
8638,Campsis x tagliabuana
8572,Canna
8581,Canna indica
6570,Cannabis
1805,Cannabis sativa
6102,Capsella
200,Capsella bursa-pastoris
5389,Capsella rubella
6721,Capsicum
5249,Capsicum annuum
10002,Capsicum baccatum
8811,Caragana
8149,Caragana arborescens
6103,Cardamine
201,Cardamine amara
2440,Cardamine bulbifera
5482,Cardamine corymbosa
202,Cardamine flexuosa
8428,Cardamine graeca
203,Cardamine hirsuta
204,Cardamine impatiens
5651,Cardamine occulta
205,Cardamine pratensis
1461,Cardamine pratensis subsp. paludosa
1462,Cardamine pratensis subsp. pratensis
8545,Cardamine quinquefolia
6104,Cardaminopsis
6650,Cardaria
8688,Cardiospermum
9051,Cardiospermum halicacabum
6105,Carduus
1432,Carduus / Cirsium
207,Carduus acanthoides
10003,Carduus collinus
208,Carduus crispus
209,Carduus nutans
8150,Carduus personata
9052,Carduus pycnocephalus
210,Carduus tenuiflorus
9053,Carduus x orthocephalus
1554,Carduus x stangii
6106,Carex
211,Carex acuta
2211,Carex acuta / aquatilis / nigra
212,Carex acutiformis
2210,Carex acutiformis / riparia
213,Carex appropinquata
214,Carex aquatilis
215,Carex arenaria
5654,Carex bebbii
5390,Carex binervis
216,Carex brizoides
2068,Carex buchananii
217,Carex buxbaumii
219,Carex canescens
218,Carex caryophyllea
1400,Carex cespitosa
241,Carex colchica
10618,Carex comans
2455,Carex crawfordii
5537,Carex davalliana
220,Carex demissa
2213,Carex demissa/oederi
221,Carex diandra
222,Carex digitata
223,Carex dioica
224,Carex distans
225,Carex disticha
226,Carex divisa
227,Carex divulsa
1611,Carex divulsa/leersii
228,Carex echinata
237,Carex elata
229,Carex elongata
230,Carex ericetorum
231,Carex extensa
232,Carex flacca
233,Carex flava
5653,Carex grayi
234,Carex hartmaniorum
235,Carex hirta
236,Carex hostiana
5549,Carex hystericina
238,Carex laevigata
239,Carex lasiocarpa
252,Carex leersii
240,Carex lepidocarpa
246,Carex leporina
242,Carex limosa
9535,Carex morrowii
2075,Carex muricata s.s.
5550,Carex muskingumensis
244,Carex nigra
10527,Carex nordica
261,Carex oederi
245,Carex otrubae
243,Carex pairae
247,Carex pallescens
248,Carex panicea
5529,Carex paniculata subsp. lusitanica
249,Carex paniculata subsp. paniculata
250,Carex pendula
10525,Carex pendula subsp. agastachys
10526,Carex pendula subsp. pendula
6960,Carex pilosa
251,Carex pilulifera
253,Carex praecox
257,Carex pseudobrizoides
254,Carex pseudocyperus
255,Carex pulicaris
256,Carex punctata
258,Carex remota
259,Carex riparia
260,Carex rostrata
5667,Carex scoparia
262,Carex spicata
263,Carex strigosa
264,Carex sylvatica
265,Carex tomentosa
5652,Carex torta
8429,Carex tribuloides
266,Carex trinervis
267,Carex vesicaria
268,Carex vulpina
2419,Carex vulpinoidea
6950,Carex x albertii
5668,Carex x alsatica
5669,Carex x arthuriana
5670,Carex x bakkeriana
5671,Carex x beckmanniana
5672,Carex x beckmannii
1555,Carex x boenninghausiana
5673,Carex x crepinii
6951,Carex x csomadensis
1556,Carex x elytroides
5674,Carex x evoluta
1557,Carex x fulva
5675,Carex x fussii
6949,Carex x helenae
5676,Carex x hibernica
6953,Carex x involuta
5677,Carex x justi-schmidtii
5678,Carex x ludibunda
5679,Carex x luteola
1558,Carex x pauliana
5680,Carex x ploegii
5681,Carex x prolixa
1560,Carex x pseudoaxillaris
8650,Carex x reichgeltii
5682,Carex x ruedtii
8438,Carex x senayana
6980,Carex x sooi
5666,Carex x terschellingensis
1561,Carex x timmiana
5683,Carex x tornabenei
1559,Carex x turfosa
6954,Carex x uechtritziana
10308,Carex x xanthocarpa
6107,Carlina
269,Carlina vulgaris
6108,Carpinus
270,Carpinus betulus
8812,Carpobrotus
6858,Carpobrotus edulis
6651,Carthamus
9522,Carthamus lanatus
5033,Carthamus tinctorius
6109,Carum
271,Carum carvi
8813,Carya
8151,Carya glabra
6859,Caryopteris x clandonensis
6110,Castanea
273,Castanea sativa
6111,Catabrosa
274,Catabrosa aquatica
6824,Catalpa
5391,Catalpa bignonioides
8038,Catalpa ovata
8535,Catalpa x erubescens
8689,Catananche
9054,Catananche caerulea
6112,Catapodium
275,Catapodium marinum
276,Catapodium rigidum
6571,Caucalis
1673,Caucalis platycarpos
8814,Celastrus
8152,Celastrus orbiculatus
8153,Celastrus scandens
8815,Celtis
8154,Celtis australis
8155,Celtis occidentalis
8690,Cenchrus
8318,Cenchrus flaccidus
10161,Cenchrus glaucus
9275,Cenchrus longisetus
10426,Cenchrus macrourus
9480,Cenchrus massaicus
9274,Cenchrus petiolaris
5659,Cenchrus purpurascens
2096,Cenchrus setaceus
9055,Cenchrus spinifex
6113,Centaurea
9056,Centaurea benedicta
278,Centaurea calcitrapa
279,Centaurea cyanus
8156,Centaurea dealbata
2043,Centaurea debeauxii
9057,Centaurea decipiens
8430,Centaurea diffusa
8955,Centaurea diluta
1766,Centaurea jacea
8059,Centaurea jacea subsp. nigra
8157,Centaurea macrocephala
9058,Centaurea melitensis
5034,Centaurea montana
10007,Centaurea orientalis
8956,Centaurea phrygia
9059,Centaurea phrygia subsp. stenolepis
284,Centaurea scabiosa
1675,Centaurea solstitialis
5314,Centaurea stoebe
10008,Centaurea triumfettii
9650,Centaurea uniflora
6114,Centaurium
286,Centaurium erythraea
285,Centaurium littorale
287,Centaurium pulchellum
5524,Centaurium x intermedium
6652,Centranthus
5035,Centranthus ruber
6115,Centunculus
288,Centunculus minimus
6116,Cephalanthera
